id,source_lat,source_long,target_lat,target_long,source,target,distance,slope,geometry,nearby_features,elevation_diff,is_uphill,across
1616,37.3911239,127.1178322,37.391183,127.1174666,4279933663,4279933665,45.337,0.0,"LINESTRING (127.1178322 37.3911239, 127.1176838 37.3910104, 127.1174666 37.391183)",none,0.0,False,0
1617,37.391183,127.1174666,37.3913087,127.1176061,4279933665,4279933660,18.635,0.0,,none,0.0,False,0
1618,37.391183,127.1174666,37.3911239,127.1178322,4279933665,4279933663,45.337,0.0,"LINESTRING (127.1174666 37.391183, 127.1176838 37.3910104, 127.1178322 37.3911239)",none,0.0,False,0
1619,37.391183,127.1174666,37.391313,127.1173459,4279933665,4279933677,40.89399999999999,0.0,"LINESTRING (127.1174666 37.391183, 127.1174344 37.3911617, 127.1173942 37.3911446, 127.1173459 37.3911382, 127.1173057 37.391151, 127.1172788 37.3911744, 127.1172547 37.3912, 127.117244 37.391232, 127.1172466 37.3912597, 127.1172654 37.3912831, 127.1172896 37.3913002, 127.1173137 37.3913087, 127.1173459 37.391313)",none,0.0,False,0
1620,37.391313,127.1173459,37.391183,127.1174666,4279933677,4279933665,40.894,0.0,"LINESTRING (127.1173459 37.391313, 127.1173137 37.3913087, 127.1172896 37.3913002, 127.1172654 37.3912831, 127.1172466 37.3912597, 127.117244 37.391232, 127.1172547 37.3912, 127.1172788 37.3911744, 127.1173057 37.391151, 127.1173459 37.3911382, 127.1173942 37.3911446, 127.1174344 37.3911617, 127.1174666 37.391183)",none,0.0,False,0
1621,37.3911226,127.1188537,37.3910895,127.1190534,4279933678,4279933683,18.022,0.0,,none,0.0,False,0
1622,37.3911226,127.1188537,37.391021,127.1179568,4279933678,4279928692,85.19699999999999,0.0,"LINESTRING (127.1188537 37.3911226, 127.1185924 37.3911659, 127.1184771 37.3911851, 127.1183671 37.3911872, 127.1182706 37.3911723, 127.1181767 37.3911446, 127.1180962 37.3911126, 127.1180211 37.3910679, 127.1179568 37.391021)",none,-2.0,False,0
1623,37.3911226,127.1188537,37.3912486,127.1190877,4279933678,4279933682,35.492,0.0,"LINESTRING (127.1188537 37.3911226, 127.1188935 37.391281, 127.1190877 37.3912486)",none,0.0,False,0
1624,37.3910575,127.1192464,37.3910895,127.1190534,4279933681,4279933683,17.418,0.0,,none,0.0,False,0
1625,37.3910575,127.1192464,37.3911936,127.1194668,4279933681,4279928708,39.489,0.0,"LINESTRING (127.1192464 37.3910575, 127.1193381 37.3910423, 127.1193971 37.3910338, 127.1194454 37.3910402, 127.1194829 37.3910572, 127.1195124 37.3910871, 127.1195205 37.391119, 127.1195124 37.3911489, 127.1194937 37.3911766, 127.1194668 37.3911936)",none,0.0,False,0
